7response,context,context/0,context/1,context/2
 Thanks for your help. Had to entirely reset my phone (it died when I logged out of Spotify) That fixed the problem though. Cheers! , Got it. Can you try to see if logging out &gt; and restarting your phone &gt; and logging back in to your account makes a difference? /DV ," Android V7.0, Samsung S7 Edge, Spotify V8.4.25.771armV7. Bluetooth controls work fine on all other media apps, play/pause dont work on sptfy "," Hi, help's arrived! Can you let us know what's happening exactly? Also, what're your device's OS and Spotify versions? /DV ",alright lads. Love the app but can you sort the bluetooth issue out? I would like my headphone sto be able to pause and play pls. 
 I have a printed email of confirmation of booking through Trainline business ," If you call them they may be able to help. Alternatively, ticket office staff may be able to help if you take your confirmation. "," probably not going to be possible to do that, trainline business ", You would need the card you paid with to collect the tickets. Which train operator did you buy the tickets with? ,my work has pre booked my tickets to collect at SouthamptonCentral however I won't have the payment card. Is this an issue? 
 Thanks for resolving this situation much appreciated ," Hi Rich, could you DM your case reference, email and contact number so we can see if we can help? "," No response yet just debt collection threats: ""this debt will be referred to our Legal Department regarding recovery of the debt""... ", Apologies you have had troubles when you are trying to get this back to BA. Is someone looking into this for you? ,Contacted to let them know they'd overpaid compensation so I could transfer it back. They threaten me with legal action... 
 Aaaaaand... you baggage customer assistance office at VPS is closed. Now what? ," We understand, Camilo. Be sure to verify that you have all your contents when you arrive. "," Obviously will, but praying it doesnâ€t get worse / things fall out between DFW and VPS. Every. Single. Time. ", Our apologies for the damage to your bag. Please speak with our Baggage office at the airport to file a claim. ,"Once again, thx Few things as crappy as getting broken/open bags that you have to recheck because complaint is â€œat destinationâ€ "
 No I have already spent 2 hrs on phone with AT&a and spectrum. I am disappointed and missed a customer deadline because I had no service , Have you spoken with customer care regarding this request? , Should should NEVER shut service off before a phone call to make sure everything is working. I want free service for 3 months. , Our apologies for any frustrations or inconvenience Cathy. Is there anything we may be able to assist with? ,installed today. Went from bad service at AT&a to awful service at Spectrum. B4 shutting off old service should have checked 
 The date was changed at the end of the day it was supposed to be delivered. Now it suggests it's going to take 1-2 days more. ," Hi Ash, did the date change from your order confirmation email for the two items? ", help me understand ," but they send it at 5pm, and then tell me it's going to arrive in the next 1-2 days. How is that ""Prime"" delivery. Please explain. ",Honestly don't see the point in paying for Amazon Prime anymore. Second time in 2 weeks they've sent me an email saying its delayed... 
 How much is it please? ," Thanks Danielle, Cannock currently have around 14 copies in store! Ewan ", Cannock store. It is not on your online store either though ," Hi there, which store do you usually shop in? I'll have a check for you. Robbie ",are you going to be stocking the new Wolfenstein Xbox one game anytime soon? Would like to purchase at SAINSBURYS for my nectar 
 I told you y/day that her name was Sandra. She was black. And RUDE!!! , Did you catch her name or remember what she looked like? , Spoke in a very dismissive tone and provided zero eye contact. Made me feel like I was annoying her when I asked for a simple iced finger. , Sorry about that Daniel. What happened? ,just received the most awful customer service from Sandra in your Holloway Seven Sisters Road store. Will not be going back. 
 __email__ thanks Nisha ," Hi Sara, please can you send me your email address so I can get the info sent to you? Nisha ", ," Hi, I have got that one but have another if you could look it up. Pumpernickel bread 400g 224202001553 thanks. "," Hi Sara, do you have the product barcode number so that I can find out for you? Thanks, Smaira "
" Sorry Marian I actually donâ€t mind the taste too much, the tweet was more for the RTs and Favs. Have a good day x "," Without those details we cannot log this or provide a refund, let us know if you change your mind.-Marian ", Iâ€m not a grass , Can you also include your permission for these details to be passed to the supplier? TY Joanne 2/2 ,"Just bought some muesli and it tastes like ham butties, please advise "
 Yes i am able to update them using cellular data. And yes i update all of them at once ," We understand how important it is to keep your apps up to date. So we're clear, are you trying to update all or one at a time? Are you able to update using cellular data? "," I am using iOs 11.1.2 in my iphone 6s.. as soon as put the apps in update, they get pending to get updated and later on failureof update notice pops up "," Thanks for reaching out to us about this issue. We want your device to work for you and we'll be happy to help out. To get started, can you tell us which device and OS version you're having this problem with? Also, what happens when you try to update? ",Unable to update apps when connected to WiFi. 
 We would if didnâ€t hide declassified , Please accept our apologies Sarah. But it would be the train manager who would be best to speak to regarding this. , Poor show Train Manager is hiding in first class and wonâ€t come and speak to us ," Sorry to hear that Sarah, have you spoken with any staff onboard? ",On worst Train journey in long time from stockport to euston 9.43 total overcrowding and no declassification 
 iPhone 7+ in rose gold ," Ah okay, which phone have you ordered? ", Yes I have and havenâ€t had anything. It was more annoying I called on Sunday over 4 times for the phone to ring through to voicemail (P1..) , ðŸ˜ž We'd normally send you a text/email when your order is ready for collection. Have you checked your inbox? ,"Impossible to get through to the store in Telford, still awaiting confirmation my phone has been delivered and is ready to collect "
" Yes please. On Windows 10 home, latest updates. Had these crashes since I changed from 7 to 10. ", Hello there. How's it going? Do you still need our assistance? Just let us know and we're here for you. ðŸ˜ƒ ," Lots of random crashes, during low demand tasks like video. Constant 100% cpu usage ", Hello! Could you expand upon why you feel this way? Perhaps we can help. ,I hate Windows 10 I hate Windows 10 I hate Windows 10 I hate Windows 10 
 Any more advice? , Just to check if you have NEC drivers installed on your Surface device? , What do u mean? I applied your one of your updates to one of your Surface Pro devices. Troubleshoot that ðŸ˜€ , Hi. Let's sort this out. What troubleshooting steps have you done so far? Let us know so we can further assist you. ,Since applying the Version 1709 update my battery life on my Surface is terrible compared to before. Is this a known issue? 
 I just donâ€t understand why you wouldnâ€t offer this for the full party season?!?! , We hope you find something you like just as much from one of our stores 2/2 , So I wonâ€t be able to order the 36 piece mince pie mix for a party on the 15th Dec?! ," the 22nd December our stores will be the best place to find them, as nearly all Christmas lines are available in store already ðŸŽ„ 3/3 ",any idea when some of the Christmas food...mince pies etc will be added to the normal food to order???? 
" No browsing network for us here, and our data subscription is always like a waste.. U can carry out a survey on this.. Form itoki to ifo "," Hello Vicky, we apologize. May we know your number, error message, exact location with landmarks, issue duration and device type? SO ", Pls we need a better service here axis...out data is always a waste. ," Hello Vicky, we appreciate the feedback. Network upgrade done routinely. SO ","called me to participate in their ongoing promo. Bt i declined,i prefer a gud service nt promo. not 4 all, service is 4 all "
" Mache mir nur Gedanken das es Freitag nicht an kommt , Mit welchen Dienst versendet ihr es ? Wenn ich fragen darf!? ", Warte doch mal bis morgen ab. Noch ist doch alles im grÃ¼nen Bereich. , Weil es schon seid Montag unterwegs sein sollte ?! ," Wir versenden so, dass es am Freitag bei dir zugestellt werden kann. Liebe GrÃ¼ÃŸe ",versendet ihr heute Call of Duty WW2 oder erst morgen ! Weil das Spiel Freitag raus kommt ðŸˆðŸ˜‚ hoffe es kommt pÃ¼nktlich an bei mir 
 Grazie Mille , Ti confermo che la giornata di oggi non Ã¨ considerata come lavorativa. A presto! , 2/2 lavorativo successo. Ma allora oggi e un giorno lavorativo per GLS o no? Sa? , Se hai giÃ effettuato l'ordine su Amazon.it dovresti vedere la tracciabilitÃ del pacco direttamente dal tuo account. ,E possibile di ricevere qualcosa nel primo di Novembre ? 
" Hi Louis, our Southwark Superstore is getting them delivered regularly. They have 12 in stock. 1/2 "," Hi Lara, thanks for getting in touch. It's the Old Kent Road Tesco. "," Good afternoon Louis. To have a look into this for you, can you please DM me your postcode or your local store you visit? Thanks Lara. ", Tropical Sun won't do. ,and why have supplies of Dunn's River jerk seasoning dried up? 
 No and I know the rentals from the stores are extremely basic wonâ€t be getting o2 insurance again , Our insurance team will resolve this for you as soon as they possibly can. Do you have a spare phone you can use? , I have and will have to send my phone off and wait for them to check and send me a new one. Not what I expected for the cost ðŸ¤¦ðŸ»â€â€ï¸ , Hi Stephanie ðŸ˜ What's happened to make you say this exactly? Have you been in touch with the Insurance Team directly? ,Disappointed that after paying so much money for insurance I could be up to a week without a phone after making a claim sort it out 
" I just said there is a limit on the DM's I can send to people that don't follow me. I have exceeded it. Unless you follow me, it is not 1/2 "," We are here to help you. Please DM your Idea and & Alternate number for further assistance. Regards, Mahindra ", I have DM'd you. Twitter doesn't allow to send lots of DM's to people that don't follow me. ," We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care ",Which is the worst telecom operator on the planet and why is it 
 An E-Saver is just about right ," That's right, Heads Together were our official charity last year. Which account do you like the look of? ", I do not have a LB account but I am interested in a savings account. Is this the company that was a part of the Headstogether campaign? ," Hi, let's take a look! What type of Virgin Money accounts do you hold? ",Please tell me what am I to do when all my bank cards have been deactivated? 
 Iâ€d have to PM you ," Without giving account specifics, can you tell us a little more about the issue you're experiencing? ", Yes may I suggest you look at this issue , Sorry about this! Have you tried any troubleshooting steps like restarting the device or logging out and back in? ,you need to sort out app on phones syncing problems 
 Hopefully to figure out a compensation plan for the passengers. Many of us missing connections and important meetings now due to this. , Our airport team is working on this. Thanks for your continued patience. , Apologies? about it. Hundred plus here and your captain is not due to , Our apologies for the late start. We'll get our crew complete and get you going soon. ,I can understand delays for various reasons but a 6:25am departure where your didn't get a wake up call? 
 It's 745. Still haven't taken off. Who can I discuss this with in greater detail? , The departure has been updated to 7:45a. We'll get you headed out soon. ," Thanks for the update but there is no way we are departing in 7 minutes, haven't boarded yet. "," Our apologies for the late start, we have an updated departure time of 7:35a. Thanks for your patience. ",how does flight 3719 that was suppose to depart at 640am still cannot locate the captain? 
 Not in any stores to clear?? Are all of your seasonal items destroyed and thrown if unsold? ðŸ˜ª , Sorry for the delay. I'm afraid we no longer stock this product. I'm sorry for the inconvenience caused. Shaun ," Hello, never got a reply? Any other stores in the Surrey area you could check? "," Hi there, what's your local store? Do you have a barcode number at all? Steven ",hello sainsburys! i didn't have a chance to get the beautiful Halloween cat plush. Would they all have been thrown by now?? 
" I have done so, I can travel to the US on an Austrian passport and it's never been a problem in the past? "," It would be best to check with the US Embassy regarding what you are required to travel, just to be sure ", It's an Austrian passport and I am travelling from LHR to JFK. Thank you ," Hi there, can I check which passport you hold and where you are travelling to? ",Trying to check in for flight this eve but get error about travel documentation not valid? Can you help? Thank you 
" Ok, thanks for checking! "," Hey there, the product will be available online next week :) Djessi "," Hi, any more info please? "," Hi there, sorry about that. I've contacted our buyer to find out. We'll let you know as soon as they come back to us Djessi ","Hi, what's happened to your oranges? U were selling 3 different sizes few days ago, then they went OOS, now disappeared online? "
 Thanks for the update. Our team will check and get back to you with an update soon. Request you to wait. , Yes I have replied , I understand your disappointment. We'd like to help. May I know if you replied the correspondence from the accounts team? , Have send the details via fax ,Have been following from 2 weeks to unhold my account 
 northeast United States of America. , We'd like to take a look in your area to check the services. Please send us a DM in order to further assist. EG ," You also don't have very good coverage in: Colorado, Utah, California, Georgia, Tennessee, North Carolina.... ", Hey there! Are you having any issues with the services? Please let us know in order to further assist. EG ,Where does have more than 3G coverage in the continental U.S.? Because I've yet to visit those places... 
 Looks unlikely right now. Crawling at snailâ€s pace past Watford. , Hopefully it will pick up time on route Eddie. , But no mention any delay on main departures board at Euston which usually happens. I only hope I donâ€t miss onward journey. ," It should have departed now, but was late due to it being late in to the station. ",unimpressed by total lack of information at Euston about delay of 1120 to Picc. 
 Ahhh. That would make sense. Thank you. ," If the tape becomes damaged during transit, the shipper will sometimes re-tape a package so the contents don't fall out. "," No. But the amazon package tape was broken, and i could see visibly where someone taped it back with their own tape ", I'm sorry your package was tampered with. Was there any damage to the items in the package? ,"Someone opened my amazon package, and retaped it. I don't know if it was the delivery driver or someone in the neighborhood "
 Kindly share the asked details via the link shared. We'll check this for you. , I have replied as well , We've responded to your DM. Request you to please check it. ," No agent shows up on Mon, Wed get a call in the morning while the slot is for 1-4pm. Now I get an SMS that pick up is cancelled. Why? ",Dear if ur agent or ur system is rescheduling the return prick up donâ€t expect me to plan a pick up again. Do it yourself. 
 AWESOME all your aircraft should be 'bleed-free' I always book the 787 now. Thank you ," Hi Marta, it's a new bleed-free design which pumps fresh air from a separate source and away from the engines. ", why is the air do much cleaner on your What's different? , Thanks Marta. We do look to make each of our aircraft fleet as clean as possible. Our Boeing 787 is a beauty on the inside and out! ,why is the air quality so much better on your aircraft? So much cleaner than your other aircraft. It's fantastic 
 Thanks for confirming the expected behavior. I will play around with it and see if I can get it working. ," on the phone to open Excel files in general, or other documents just to ensure the permissions are correct? 2/2 "," The Dropbox app is version 5.0.2.0. This is a Windows Phone, Lumia 950. Thanks! "," Hi Gabrielle, on which Windows device are you opening the Excel file? Which version of the Windows store Dropbox app is running? ","Is it expected that ""Open With"" on xlsx in UWP app just reloads the same view in Dropbox? How do I open it with Excel? "
 Absolutely I do agree there are so many stops and can be very stressful for non-regular passengers especially. Will pass on! ," Started, have met many elderly who are confused. They don't have phones, apps, internet so a human voice would be a kind gesture. ðŸ˜€ ", ''Twas the 10:54 from CRD/LOB just a simple 'next stop will be' or does not stop at' would have helped. So few announcements since LF ," Hi Janet, Sorry to hear this and & thankyou for accompanying the couple. Please let me know the service so I can feed this back? ",no on board announcements so went to LOB. Just accpmpanying them back to KNN now. They're quite shaken by this. Feeling sad ðŸ˜¢ 
 Told to call in am. So office could be xontacted for earlier appt. Was on hold for over 20 mins and disconnected when giving tick , I tried last night with someone on the phone. It didnt help. Said i need a tech but couldnt sched until next week. , Please reset the ONT by holding the alarm silence button for 15 seconds. Let us know if this helps. , Did you get the reply? System status and power ok lights are green. I am hoping to get a tech to check the bbu and ont very soon. ,Can you tell us what other lights are lit on that device? 
" Hey, Yer everything is good thanks ", Hello. We want to make sure everything is good on your end. Feel free to update us anytime. ," Yer thats the one, i dont know what happened during the update but something caused my programs to mess up, I just reinstalled them and its seams to be fine for now "," Hi, Betty. Let's look into this. Are you referring to the Windows 10 Fall Creators Update? We will appreciate a screenshot. ",how come my pc just updated to this new version and now i have duplicate icons on my desktop and most of my startup programs down start or i get errors off them? 
 You need to provide more capacity and invest in more rolling stock , We run a large number of peak trains and all available coaches are in use across the network. , A peak service should have full length trains only- you know the demand is there. V poor planning ," This train is planned to be 10 coaches, all available units are in use during peak hours. Sorry for the uncomfortable journey. ",why ex woking 0726 to Waterloo only 10 not 12 car in peak- rammed! 
" It wasnâ€t operational changes though, itâ€s a glitch in your system, which we raised a few weeks ago. ", We can still never fully guarantee seats due to any potential aircraft or operational changes i'm afraid Alan , Well we paid extra for the privilege of choosing our own seats. Surely that should guarantee our seats? , Sorry about this Alan. We aren't able to ever guarantee specific seat numbers i'm afraid due to various reasons ,Booked seats in the bubble with for our flight on Friday. Logged on last night to find they cancelled it and moved us. 
 It's the Hilton Bonus transfer point on your homepage. It doesn't say it's for specific customers. Everyone can see it. ," So sorry about that. Which promotion are you referring to, Darryn? Is this with your Membership Rewards points? ", Call Hilton about a Rewards question?? Doesn't make sense to me. ," Hi Darryn. Pls call Hilton Customer Service for assistance 800-297-1000, 24/7. All the best. ",I signed into my Rewards account 2night to take advantage of the Hilton Honors transfer bonus. May I still take advantage of that? 
 LOL!!! It wasnâ€t scheduled to take off until 7:30 today!! Classic!! This is what I am coming to expect , Jonathan I'm showing you have completed your trip already HKYXMN. Please contact our Corporate Customer Care team (cont)... , Sure if you can make sure we keep first class and get to Cabo quickly. The only choice I see on app is downgrade to coach when we paid 1st! ," Hi, Jonathan, I'm so sorry to hear we let you down. Please let us know if you need re-booking assistance. ",afraid my many years of flying only Delta has changed! Seriously delayed flight for 2 hours for restroom and we miss our vacation! 
 Wait no never mind Iï¸ still canâ€t type â€œIï¸â€ ," We'd like you to reset your Keyboard Dictionary from Settings &gt; and General &gt; and Reset. Next, restart your iPhone. Any changes? ", 7 plus latest iOS , We'd like to help you out. Which device are you using and which iOS are you running? ,Yo whatâ€s up with this glitch every time Iï¸ try to type the letter â€œIï¸â€ I 
 No we refused. The point is it should not be classed as part of our hand baggage allowance. , Has your duty free been taken from you? , Yes your staff said it was part of the hand baggage allowance. We are permitted two bags plus duty free. , Were sorry you weren't allowed to take your duty free on board. Was it properly packaged? ,ok now it's getting daft. Can't take duty free on a flight in club class. 
 Sent you the DM with the record locator ," We'll be on our way as quickly as we can. If you send us a DM with your record locator, we'll take a closer look with you. ", Yes... but we got to our connection flight but then this flight is also delayed because of a broken window , Delays are frustrating we know. We're showing an updated departure time of 8:10a. We'll have wheels up as soon as we can. ,Flight 2336 Pilot was 45 minutes late and now there is maintenance issue and we have a connecting flight in MIA 
 Can I access my prior albums? I had lots of baby pictures organized using it. ," Hi again, weâ€ve sunset the Photos page so we can focus on building new and & better ways for you to work with all files, including photos. ", Whhaaaaat nooooooo!! Why??? :-( :-( ," Hey there, the albums feature is no longer available, unfortunately. Thanks for tweeting! ",Is it still possible to select photos and add them to a new album? I don't seem to see this option anymore. 
" Hi Prathap, sorry got caught up with work. I managed to find a reseller that has that battery, it's expensive as hell...oh well... Thanks! ", I did not hear back from you yet. Please let me know whether your issue is resolved or you need additional help. , it's an Envy 15-j012la ," Hi, thanks for reaching out. If you need any technical assistance, please let me know the product model and the issue. ","hi, is there any way to know the model of the battery that's compatible with my laptop? I need to buy a new one "
 Well other supermarkets are not hiking their prices. Even your cafe prices have shot up! ," Sorry you feel that way, we do try to keep our prices as low as we can. Georgina "," The odd thing I understand, but not almost everything! "," Hiya, due to supply costs we do sometimes have to raise prices, however we do try to keep prices as low as we can. ","Went to this morning nearly everything I buy there has gone up between 10p and 20p. How can this be justified? Hello, Asda! "
" Canâ€t tell straight away, need to see the music behaviour for a bit. Will get back as soon as i know :) ", Thanks. Does logging out &gt; and restarting your device &gt; and logging back in again make any difference? /KM , Iphone 8 on ios11.1 and latest Spotify version as available on app Store , Hey! That doesn't sound right. Can you let us know the device and Spotify version you're running? We'll see what we can suggest /KM ,"iOS 11(.1) has issues when using camera, then music,which (from Spotify) breaks.Not sure if itâ€s ios or the app?@AppleSupport "
" It's 9:18AM, we're still at our gate, and YOUR pilot is still MIA "," We're showing an updated departure time of 9:15a, we'll have wheels up just as quickly as we can. "," AA 0851, DCA to CLT...I would suggest looking into an upgrade for my return this evening on AA 1750 ", We're going to try our best to make up some time while in the air. Please share your flight number so we can catch an update. ,"Apparently our pilot is stuck in traffic...I love but if I show up late to a meeting, I'm fired "
" That's not acceptable in any way, Alex. We expect our team to be friendly and respectful with our customers. Our apologies for any rudeness. ", I understand your employees are probably miserable but disrespecting a mother n child is nonsense. , Haha your terrible customer service solution is to have the customer your bad staff mishandled fix the situation? Sounds like vacation to me ," We don't want you to feel this way, how can we help? ",is working on being worst airline available. Y'all make trips harder for parents and your employees at DIA are beyond the worst 
" The one I was given last night: Hello Julie, Our Financial Service Team can assist you with this 888 338-9333 after 8 am. ", What number did you call? , Your automated system is shit. I can't get to a human being. I've just wasted 15 minutes trying. Please help! ," Hello Julie, Our Financial Service Team can assist you with this 888 338-9333 after 8 am. ",I called and & canceled my Mom's service upon her death and & 1 week later her account is again drafted. please help 
 Thankyou! , Please liaise with the bank for assistance. , Received confirmation message but monies not deposited to bank. , The transaction you've provided was completed at 14:46 PM. Please confirm the balance. ,Money not deposited to Bank AC. Please assist. Other transactions going through. Till No. 929704 Transaction. LJV2XWCJ06 
" Iba a eso en un rato, que no he podido en toda la maÃ±ana "," Entiendo, Â¿has entrado en contacto con el transportista para verificar lo sucedido? "," Pues tengo que mirar me suena externo, y no, no recibÃ­ correo sino en la web vi el cambio hoy "," Hola Josu, Â¿el producto es vendido y enviado por Amazon o por un vendedor externo? Â¿Recibiste un correo notificando el cambio? ","que pasa Ãºltimamente?? un paquete que me llegaba el dÃ­a 25, cambiaron la fecha al 31 y hoy marca el 11 "
" Entiendo que es gestionado por Amazon, ya que me aparece que fue vendido por Amazon EU S.a.r.L. "," Entiendo, Â¿el pedido era gestionado por Amazon o por un vendedor independiente? ", Intente llamar a seur y nada. Y aquÃ­ sigo esperando hoy. Siempre ha funcionado bien pero esta vez.... ," Lamento el inconveniente, Â¿has entrado en contacto con la empresa de transportes para verificar lo sucedido? ","tenÃ­a pedido prime para hoy, me quedÃ todo el dÃ­a en casa... Y mis cositas? Ahora tendrÃ que entretenerme con otra cosa. "
" Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice. ", It has been happening since iOS 11 came out. I hoped that it would be fixed in further updates. Iâ€m using iOS 11.1 now on iPhone 6s. , Thanks for bringing this to our attention. Can you tell us which iOS version this is occurring on please? , So one has to go back to call log. Click that message icon again and then a chat for that particular number opens up. ,Bug Alert! Upon selecting message option from call log only opens up msg app but not the chat for that num 
 Well could you check my account status then please and see if I'm due you any payment? Think I cleared it earlier. ," I am really sorry to hear that. I would love to help, if I can. Have a good day. Charlotte "," Too much messing about. I've paid what I owe eBay, and will be closing my account. No support and too much bother. Fees are a joke also. "," I am sorry to hear that. Could you maybe file a claim with the courier? Thanks, Charlotte ","An item I sold has arrived damaged, had to refund buyer. Not very happy as it was sent in perfect condition. "
" Hello, I have just checked and have received no emails from yourself. "," Hi Alex, you should have received an automated reference regarding the complaint. Have you checked your spam folder? ", About 2 weeks ago. ," Hi Alex, when did you submit this form? ",I submitted an online form with a complaint about an incomplete journey due to your poor service and haven't received a response? 
" Yes, I able to :) ", Are you able to connect when using Wi-Fi? Are you able to make and take calls? ," If I open Safari, for example, a message appears which says that there is no internet connection. ", We can help you. Could you tell us what happens when you try to connect to the Internet? Do you get an error message? ,"Hi! Although I have full coverage, even with LTE, on my iPhone, I canâ€t connect to the internet. Can you help me? "
 Well if you find out how to resolve it please let me know ðŸ˜ can you help us no I know Iâ€ll stick with apple haha ," Mine just goes onto a black screen with the restart sign then just locks, haha you still wont change from a Iphone though Lindsey will you ", Thatâ€s exactly what happens to mine :( theyâ€re legit just designed to last 2 years itâ€s bs , Mines doing the same keeps looking like its gonna restart then just freezing and locking like 3/4 times a day ðŸ˜¤ ,My iPhone is completely fkd keeps freezing and restarting anyone know any quick fixes ðŸ˜ 
" Do you know if it's been fixed, or will my flight get delayed even more? ", Apologies for the continued disappointment. We're experiencing a mechanical challenge with your aircraft and this has caused an upline delay. Feel free to DM your confirmation number once your travel is complete for follow up. , That doesn't help the fact that we now have to deal with our 1 year old's schedule being totally screwed up. What's the reason for the delay for flight 6035 TPA-&gt;IND? ," We know delays are frustrating and apologize for any frustration caused, Danny. We hope to make up some time so we can get you on your way later today. ","Never a good sign when your flight is already delayed 2.5 hours, 8 hours before scheduled departure... That tells me it's just poor scheduling. "
 have to what? ," Hi Mark, Thank you for reaching out to us. Changing the Motherboard will not affect windows. However, you may have to (1) "," Hello, I need a mew motherboard for this Dell XPS 8500. I guess my question is, will installing a new motherboard mess up my window? "," Hi, Mark, Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1 ",Is there a email address I can email to tech support? 
" So I thought Apple still doesnâ€t allow to use NFC for headphones or speakers, but only for NFC â€œtagsâ€. ", the apps recognized my Bluetooth device but nothing happened or an error just happened. They recognized it as a NFC device though. ," I can pair my Android with my Bluetooth device using NFC, but nothing happens when I touch my iPhone on it. I installed some NFC apps and ", Great question. That should work fine. Are you having any issues there? ,Canâ€t an iPhone 8 connect to a Bluetooth device using NFC? 
 Where have the trolley nuts gone? Yesterday there were sandwiches...today...zip. , A catering service is expected to be aboard this afternoon. Have you visited the Express Cafe? Jordan , 13.13 Stroud to London Paddington. , Hi there Phil. Apologies for this. Which train are you on please? Josh ,"no more nuts in 1st, no sandwiches, no explanation.....whatâ€s going on? "
 I'm using an iPhone 7 Plus and that's where I'm seeing the issue. , That's not good at all! Are you having the same experience with the app on all devices Jess? ," Residential. I got it to work on Firefox, but have uninstalled and reinstalled my app and it's still not working. Hasn't worked in a while. "," Not that we're aware of, Jess. Is this for your cellular or residential service? ",is your site and & app down again? Trying to pay my bill and am getting a blank screen on Chrome and app won't pass home screen! 
 iphone 7 and 11.0.3 , Which iPhone and iOS 11 version are you using? ," Freezing basically all of the time. Apps are messing up, if i turn on airplane mode and then turn it off i canâ€t get service without restart "," We want you to be able to enjoy your iPhone. Give us some details on what youâ€re noticing, and & weâ€ll do all we can to help out. ",Why did iOS 11 absolutely cripple my phone? 
" pls'm having issues with download my, 4 instance like video, its displaying unable to connect using current security settings ", Hello kindly assist with the stated complaint. Thank you. , à¤²à¥‹à¤•à¥‡à¤¶à¤¨ à¤¨à¤¿à¤à¤¿à¤¯à¤¾ à¤¬à¥‡à¤²à¤¹à¤° à¤¬à¤¾à¤‚à¤•à¤¾ à¤¬à¤¿à¤¹à¤¾à¤° , Hello kindly assist Abhishe05446160 with the stated complaint. Thank you.^TM ,2G à¤šà¤²à¤¾à¤¤à¥‡-à¤šà¤²à¤¾à¤¤à¥‡ à¤¬à¥‹à¤° à¤¹à¥‹ à¤—à¤ à¤¹à¥ˆà¤‚ 4G à¤•à¤¬ à¤†à¤à¤—à¤¾ à¤à¥‡à¤°à¥‡ à¤—à¤¾à¤‚à¤µ à¤à¥‡à¤‚ 
" I have expressed my concerns on the phone the last time the delivery wasn't even attempted, but this time I haven't yet had the chance. "," I can understand why this is frustrating, Jonathan! Have you been able to contact us by phone and & express your concerns with us?^FR ", Leaves a rather sour taste in the mouth of a customer who pays for prime delivery. Not even like my house is hard to find... Unimpressed , I'm sorry your parcel arrived in this condition! Were any of the contents inside damaged? Please let us know! ,nice to see a parcel turn up after 2 non attempts at delivery with a giant hole in the box. 
" Unfortunately, no joy back at the store but thanks to all the staff on customer service for being most helpful. ", If the store has found this they will keep behind desk until you collect it. Ty Darren , I am home now but could pop back tomorrow if you think it would be worth it..? ," Hi Trish, I have tried to contact the store to ask but have had no luck! We can keep trying but are you able to return to store? TY Martin ","just dropped a Â£12 money off voucher in Elmers End branch, hoping some kind soul will hand it in "
 Thanks! I really hope you add the option to only view new releases from artist that we follow. , Don't worry we'll make sure to pass your feedback on to the relevant folks ðŸ˜ /SY , can you please add a feature to only view releases from artist you follow. ," Hey Rahger! Thanks for sharing your thoughts, we'll let the relevant folks know it's something you'd like to see /SY ",can you please add a feature to only view from releases from artist you follow. 
 I am on the phone with your company now and & will probably be switching back to Verizon , I understand your frustration but how can I help you today. , Your customer service is ridiculous and & your financial dept. is as well , this is not the kind of feedback we like to hear. Are you having trouble with your services? How can we help fix it today. ,Regretting my decision to switch to ðŸ˜¡ 
 Hi any update lights still on and we're now a week into this current light debacle? How come lessons weren't learnt last time it happened? ," You're very welcome! Please be assured the store manager is aware of the issues and is working on fixing it soon. Thanks, Marc ", Thanks it happened already before a few months ago so they do know how to get it fixed if you can emphasise that to them ," unsure of how to fix, but please be assured engineers will be looking into this to get it fixed ASAP. Marc 2/2 ",Hello just checking again as not heard back why car park lights on again tonight at Garratt Lane store is the timer broken again? 
 thank you ," You can confirm with Airtel if that is possible. However , you can transfer from Safaricom to other networks. ", you mean i can not transfer money from my airtel line to my safaricom line??? ," Hi, it does not come to your M-pesa. The text received should be presented to their mobile money outlets to get the funds.^WW ",how long does it take for money sent from airtel money to reflect on my mpesa? 
 Hi Calum. Thanks for looking into it. I might have to visit the enemy tomorrow to see if they have some ðŸ˜‚ðŸ˜‚ ," I'm really sorry for the disappointment, I really hope you manage to get your hands on some parkin!:) Thanks, Calum 3/3 ", Unfortunately it didn't ðŸ˜­ðŸ˜­ðŸ˜­ ," Hello Leanne, hope your feeling better, shame about the Parkin. Did the Vicks work on your feet? ðŸ¤§ðŸ˜·ðŸ˜ƒ ",Gutted! For the 1st time in a week of not really eating I went to to get some Parkin cos I fancied some. Blooming sold out ðŸ˜­ðŸ˜­ðŸ˜­ 
 Thanks! , Until 1438 the train was scheduled to run although was expected to be delayed. I'll record your comments regarding the announcements. Jord , It wasnâ€t so much the cancellation as the timing of the announcements! ," Apologies for the late notice, Steve. We try to give as much notice although our Maintenance Team couldn't fix the fault in Bristol. Jord ",Classic eg of l hand/r hand: tell us 1443 Bath-Paddington in rev formn then one minute later cancelled! â€˜Tech probâ€ natch... 
" Sorry for the trouble have your contact details. Our concern team will get in touch with you. Rgds,Mohit ", Idea sb se bada fraud hai , IDEA is eat my money by creat proud bill beggar idea dear indians kik out idea from india give back my money ," We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care ",Thank you for being with us and we will continue to provide you with our best services. 
