7response,context,context/0,context/1,context/2,context/3,context/4,context/5
 I have and my battery life has become even worse , We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1? ,Please fix the battery issues in Ios 11! , , , , , 
" We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed? ",Series1 would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died gym 2nite. Wtf ? , , , , , , 
 yea n u gotta be 17 to drive and MY CAR is at your pump ,thank u to the woman at who IDâ€d me for FUEL on my way home from WORK ðŸƒðŸƒ , , , , , , 
 Thank you Callum will it have to be preorder or will there be general sale? ," Hi there, I am pleased to say that yes the store will be doing a midnight release as it is a 24 hour store. Thanks Callum ","Hi there, will the Tesco store in Monkspath have copies of Call of Duty WW2 to buy at midnight release? ", , , , , 
 Done. , Could you DM me a description of the colleague you spoke with as well as a time you were in the store? Thanks Peter 2/2 , nothing. Sort it fucking out tesco. , reasons other than changing a baby. I believe they are toilet trained and had no reason to be there. Your staff witnessed this and did- ," finally, the old lady got access to the aforementioned disabled loo. Oh and PS, three teenage girls used your babychange facilities for ", by then. The unfortunate man regained his stream. I washed my hands five times because I had to put the mens toilet seat down. And , mother had moved the barrier aside to the ladies to use the facilities there. The rest either died of renal failure of had also scuttled- ," kinder to her wait time. Two, the nice elder lady, was very calmly calling out the lackadaisical approach by the staff and three, my dear "
 Do you feel better after your wee rant? , Done. , Could you DM me a description of the colleague you spoke with as well as a time you were in the store? Thanks Peter 2/2 , nothing. Sort it fucking out tesco. , reasons other than changing a baby. I believe they are toilet trained and had no reason to be there. Your staff witnessed this and did- ," finally, the old lady got access to the aforementioned disabled loo. Oh and PS, three teenage girls used your babychange facilities for ", by then. The unfortunate man regained his stream. I washed my hands five times because I had to put the mens toilet seat down. And , mother had moved the barrier aside to the ladies to use the facilities there. The rest either died of renal failure of had also scuttled- 
" BTW I have a confirmation email to say my email address was updated, then got an email to say my subscription had been cancelled? ",I can't log into my account as it's saying my password is incorrect but it's the same one I've used for years! I updated my email address but it's saying I don't have an account registered to that address? , , , , , , 
 Works. Blame IOS update. , Thanks for the info. Could you try logging out &gt; and restarting your device &gt; and logging back in to see if it helps? Keep us posted /AR , Doesnâ€t show in lock screen. Canâ€t adjust volume of phone isnâ€t unlocked also. , Hey there! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR ,the new iOS is making your app way less usable. Would fancy walking around with a boom box after this update. , , , 
" Thatâ€s funny, when we finally got on the plane the pilot told us it was an engine fault... ", We understand how this impacts on your day and weâ€re genuinely sorry.2/2^Corry ," It was the 10:35am from Edinburgh to Heathrow. We finally left around 2pm, not impressed BA... ", Can you let us know your flight number? We'd like to feed this back? 2/2 ,"not overly delighted at the long delay from Edinburgh today, nor the lack of information as to why or that Iâ€m not home yet ", , , 
" It was the 10:35am from Edinburgh to Heathrow. We finally left around 2pm, not impressed BA... ", Can you let us know your flight number? We'd like to feed this back? 2/2 ,"not overly delighted at the long delay from Edinburgh today, nor the lack of information as to why or that Iâ€m not home yet ", , , , , 
 Thanks for your reply Oliver. My Twitter wasnâ€t working very well last night so I telephoned the Executive Club. , your date of birth. We can contact our Executive team who will be in contact to help as soon as possible 2/2. ,my Executive Club account has been hacked. Please pm me. , , , , , 
" flexibility on this. Please DM us your reference, full name and email address. Thanks. 2/2 ", Only our missing baggage claim number ," Hi Chris, when you were speaking to someone about this did they give you any reference number? "," Wasnâ€t told I had to when speaking to BA, conveniently forgot to tell me that very important fact "," We don't like to hear this, Chris. Did you report the damage within 7 days of receiving your bags? ","lost opt luggage for over a week, then broke out cases, now refuses to pay for the damages they caused..disgraceful ", , 
" We can have a look at this, Chris. However, if the damage hasn't been reported within 7 days of receiving the bag, we don't have any 1/2 ", Only our missing baggage claim number ," Hi Chris, when you were speaking to someone about this did they give you any reference number? "," Wasnâ€t told I had to when speaking to BA, conveniently forgot to tell me that very important fact "," We don't like to hear this, Chris. Did you report the damage within 7 days of receiving your bags? ","lost opt luggage for over a week, then broke out cases, now refuses to pay for the damages they caused..disgraceful ", , 
 It's now a police matter. You could check the police report. ," We'd like to make sure this is addressed, Eric. Would you tell us more about what happened? ", Amazon delivery guy refused to give the police his ID and suddenly started sounding like an attorney. Good grief ,I was just assaulted by an Amazon delivery person. , , , , 
" Oh no! I'm sorry to hear your order hasn't arrived! Have you had a chance to contact us about this issue? If so, what options were we able to provide? We want to make sure this issue has been resolved for you! ",Okay amazon lost my package gr8 , , , , , , 
 Solicitud (foto del estado de cuenta) ," Â¡Hola! Lamentamos cualquier molestia ocasionada, Â¿puedes contarnos lo sucedido? ",Jamas volvere a comprar en :'v , , , , , 
" Danke fÃ¼r die schnelle Antwort... ja, ich werde mal nachfragen, was da schiefgelaufen sein soll. Ihnen auch einen schÃ¶nen Abend noch. ", Bei unzustellbaren Sendungen wird gewÃ¶hnlich nach Bearbeitung der Retoure eine Erstattung veranlasst. Den Grund kÃ¶nnen wir von hier aus leider nicht einsehen. Bei Fragen hierzu kannst du dich gerne per E-mail/Telefon an unseren Kundenservice wenden. SchÃ¶nen Abend ,Ach schau an. Meine Bestellung war unzustellbar... was ist da denn passiert? Bekomme ich mein Geld nun wieder? , , , , , 
 Please meet me back in DM. We'll work on this together. ,Everybody is making everybody go to store to get problems fix. Donâ€t tweet them. 8hours over 3 days trying to come back , , , , , , 
 Says I can't DM you. ," Oh wow! That's no good at all! I appreciate you reaching out! Shoot me a DM, I'm your savior! ",Wow. just allowed someone to steal my phone number and told me they couldn't fix it unless they could call me on my phone number. , , , , , 
" aaahhh, I see now. I'm sorry to hear about the baggage issue. I'm guessing they found it and tagged it for a later flight? ", Wasnâ€t a delay. I told the guy at the counter my bag wasnâ€t tagged and he said â€œyes it isâ€ and pointed at my old tag from and proceeded to process my bag. I now have to wait 3.5 hours for my bag to get to SFO from PDX. ," Hi Harley, I'm sorry to hear about your delay. Can you message me your confirmation code? ",Nothing like waiting at the airport for 3.5 hours because employees canâ€t do their jobs right and argue with their customers (who are right). , , , , 
" Thx! Will do. Hoping our flight crew provides updates, so the entire plane participates. "," Hey Dot, oh my gosh that is horrible timing! I wish we could broadcast it live, but if you tweet at us here, we'll provide you score updates as it goes? ","please, please broadcast the on flight 447 ", , , , , 
" Yeah just curious why boarding always happens extra early at IND. Been almost ""late"" to door closure at 45+ min prior to departure. Not a problem at SEA closer to 30 min "," Yeah, looks about 3 mins behind schedule. ", Not sure. In the back of the plane but heard an announcement about doors closing. Still sitting at the gate past departure time. Finally turned on A/C ," Hey, do I understand that the flight is closed already? ",why does flight 501 IND-SEA always have final boarding called at the listed START boarding time? Currently sitting at the gate with doors closed for 30+ min. Not the first time on this flight number , , , 
" if you find it and power it up, the background image is a woman sitting in a yellow chair "," hi Phil, itâ€s an iPhone 6s, black doesnâ€t have a cover and battery had died. I was in about the 4th carriage, was one with toilet in "," Hi Ange. Which model iPhone was it, what was the colour and background image? Where on board was it left? Phil. ","Hello iâ€ve left my iphone on the train, i was on 22.35 from Ealing Broadway to Langley 22.57. Can you help? ", , , , 
 Branch from Trolls And the Boorito was delicious! Thank you! , Agreed. What did you wear as your costume? ,Best Halloween ðŸŽƒ treat is always the Boorito from , , , , , 
 Hopefully we'll zip through the line quickly. ,ðŸ—£ I JUST WANT CHIPS AND SALSA! I HAVE TO STAND IN LINE FOR CHIPS AND SALSA , , , , , , 
 I can't be lazy and send a friend ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ , That's correct. ,is the $3 one per person? , , , , , 
" Oh bless you, thank you so much! Itâ€s wallington, or purley way. Or Iâ€ll drive to wherever! They are so worth it!! X "," Hi Rachel, what's your local store? I'll look into this for you. Steven ",This being itâ€s reminded me to ask will you be doing the Taste the Diff chipolatas w. cranberries this year?ðŸ , , , , , 
 Thanks robbie. Ecclesall rd Sheffield :/ , Oh no! Sorry about this Will. Which store did you buy these from? I'll get this sorted for you. Robbie ,Hi just bit into one of your jam doughnuts and it had custard in it not happy to say the least , , , , , 
 What color are the lights on the router? ,Trying to do my presentation and my whole entire house has no internet just wonderful get it together , , , , , , 
 After 2 hours of customer service we finally fixed it thankfully our contract is up and we will not be renewed with you guys , What color are the lights on the router? ,Trying to do my presentation and my whole entire house has no internet just wonderful get it together , , , , , 
 Ya los empeze a seguir , Hola. Por favor siguenos a traves de Twitter para poder enviarte un mensaje privado con instrucciones. ,"Yo tenia un adeudo en mi cuenta y ya lo pague, estoy conciente que son 24 horas pero en ps4 dice que esta bloqueada mi cuenta ", , , , , 
" I for one would not consider buying a Â£3k watch without seeing it first, how would I get the sellers details? "," Contact info can be exchanged after payment has been submitted through eBay, but not before. (1/2) "," But as a delivery driver, I canâ€t be opening the app constantly to respond to queries and if someone wants to let me know theyâ€re 5mins away ", We want to ensure eBay is safe and we can only protect our members if the conversation is kept on the site. ,why is it such a crime to put my phone number in messages when dealing with potential buyers regarding delivery info? , , , 
 All the items I have listed currently are for local pick up yet Iâ€ve had my messages restricted because I tried to give my number and email , Motors and & Local Pickup only are a little different â€“ but all other items should show details in the pictures. If itâ€s (1/2) ," I for one would not consider buying a Â£3k watch without seeing it first, how would I get the sellers details? "," Contact info can be exchanged after payment has been submitted through eBay, but not before. (1/2) "," But as a delivery driver, I canâ€t be opening the app constantly to respond to queries and if someone wants to let me know theyâ€re 5mins away ", We want to ensure eBay is safe and we can only protect our members if the conversation is kept on the site. ,why is it such a crime to put my phone number in messages when dealing with potential buyers regarding delivery info? , 
" Then letâ€s take a look at what triggered the restriction. DM your full name, email address, and registered postal code. ", Iâ€m currently receiving enquiries regarding delivery info which I canâ€t respond to which is going to cost me in lost sales , All the items I have listed currently are for local pick up yet Iâ€ve had my messages restricted because I tried to give my number and email , Motors and & Local Pickup only are a little different â€“ but all other items should show details in the pictures. If itâ€s (1/2) ," I for one would not consider buying a Â£3k watch without seeing it first, how would I get the sellers details? "," Contact info can be exchanged after payment has been submitted through eBay, but not before. (1/2) "," But as a delivery driver, I canâ€t be opening the app constantly to respond to queries and if someone wants to let me know theyâ€re 5mins away ", We want to ensure eBay is safe and we can only protect our members if the conversation is kept on the site. 
 What is a dm , We're always here to help and we want you to have a great experience! Send us a DM with more information and we'll review. , I've talked to a supr with no assistance ," Oh! We place great emphasis on customer service.If you have any situation you need support, we're happy to check it if DM us ",is not a customer service co , , , 
" Hi Anthony, I can look into this. Please DM us your full name and street address. Thanks. ",thanks for sending me a new modem that doesnâ€t work. Your agent canâ€t even turn the old one back on so my daughter can do homework , , , , , , 
" Hello, we are following up to see if you still need help. Pls send us your contact info so we can call you. Thank you. ",its a bit concerning :( , , , , , , 
 Thank you for the information. We'll research and follow up with you. , I did thank you , Thank you for your response. Please send us your contact information so our Social Care Team can follow up with you. , And I have food to buy. My last bank had my credit within 24 hours while investigating. I might switch back due to this experience ," Hello, we are following up to see if you still need help. Pls send us your contact info so we can call you. Thank you. ",its a bit concerning :( , , 
 Thank you call me tomorrow afternoon 3:00 pm (706)614-7640 , I called and left a message for you. Please return my call at the number provided or DM me when you are available. ,Ridiculous amount of fees again from How do you justify stealing money from people? , , , , , 
" If you need help with your Xbox, we're just an away! Tweet us any time for official Xbox support ",I'm sat getting emotional trying to make an Xbox work almost crying I just want to watch Fucking Harry Potter , , , , , , 
 ,Hi please give the man who is giving updates on the Piccadilly line at Leicester square a pay rise... he's make the whole platform smile with his hilarious announcements , , , , , , 
" Hi Phillip, which station is it you will be travelling to from Southampton Central? ",how much is a ticket from SOU to London Zones 1-4. SWR Website will only give 1-6 but only need to go to 4 for Wembley Park , , , , , , 
 One that will allow me to get to and from England V Brazil. Would probably be on the train from WAT after 12am , Is it just a day ticket you are wanting? ," SOU to Wembley Park, preferably via WAT "," Hi Phillip, which station is it you will be travelling to from Southampton Central? ",how much is a ticket from SOU to London Zones 1-4. SWR Website will only give 1-6 but only need to go to 4 for Wembley Park , , , 
 Alfreton ," Sorry about that, can you tell us which store this was and we can pass your feedback over for you? BH ", And waiting and the normal question went before the fast lane was tended too. So whatâ€s the point in it ," Hi there, do you have a particular order for delivery that you are referring to? ~Debs ", Yeah. There not fast. It would of been quicker joining the normal que , Have you had an issue I can help you with? ~ Ellen , Make the fast track fast , How can I help? ~ Ellen 
 Yes! Can you DM us the email on your account please? ,my Postmates can't speak English and can't find my address can you help us , , , , , , 
 Hi! Stand by please. Checking it out thanks! ,Hi why does it say you are closed via I need some yummy food! , , , , , , 
 At least Iâ€m being productive and grading while waiting for my food to get here. ,Being naughty and ordering Mac and cheese though ðŸ¤—ðŸ¤—ðŸ¤— , , , , , , 
" OlÃ¡, H.o! No momento nÃ£o temos previsÃ£o, mas qualquer novidade serÃ¡ anunciada diretamente no nosso site e redes sociais. ",tem previsao para liberar a terceira temporada de no ? , , , , , , 
 Iâ€m trying off my fire stick ," I'm sorry, I see we do have both episodes available. Can you let us know which device you are streaming this on? ",I go to watch and episode 7 and & 8 arenâ€t there??? ðŸ˜­ , , , , , 
 My audiobook hasnâ€t shipped (but the site still says Iâ€ll get it by 8PM ðŸ„) ,Lots of folks (even w/Prime) reporting they will not receive The Final Dossier today from , , , , , , 
 No , Got it. Have you updated your Apple Watch to 4.1 yet? ,just updated my 7 plus to 11.1 but I canâ€t see the new emojis on my watch. Pls help. , , , , , 
 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today? ,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now ðŸ¤¦â€â‚ï¸ , , , , , , 
" actually, can you text me please to my email, __email__ ", Please send us your full name/ZIP/phone type so our Social Care Team can call you ,I need to get information about refund from Groupon. , , , , , 
 Sergii Daragan/02152/+380671277946 , Please send us your full name/ZIP/phone type so our Social Care Team can call you ,I need to get information about refund from Groupon. , , , , , 
" Hello, weâ€d be happy to give you a call to talk to you about your concerns. ",I need to get information about refund from Groupon. , , , , , , 
 OH FUCK WHAT? THE DLC IS NOW AVAILABLE. AFTER THE SAVE DATA IS GONE. THANKS MICROSOFT YOU GUYS SUCK. ," because itâ€s redeemed, but the DLC is unavailable. So all of this....because we asked a question. "," Now, all of this was because we called to ask why DLC wasnâ€t appearing after being redeemed. do we need a constant internet connection? "," THERES NO SAVE DATA. It wasnâ€t backed up to a cloud, and even it was, WE CANT GET TO THE CLOUD. "," First of all, fuck you. Second, what if we didnâ€t?? Either way, thankfully we found a friend, got the account back, but guess what?! "," Surprise, problem. Now we canâ€t get the account back on the xbox. Supervisors response? â€œDonâ€t you have a friend nearby that you can ask?â€ "," IT CANT COME BACK BC WE CANT CONNECT TO INTERNET. But even asking if we can get it back before doing it, we were told â€œoh yeah no problemâ€ "," how would deleting an account off a device (that cant connect to internet) to troubleshoot it work, be brought back? Oh, IT CANT. "
 Are you able to update your games currently? We're official Xbox support and & we'd be happy to help! ,"I legit think the new Xbox update broke the Xbox No game is able to update, and itâ€s not a problem with my wifi ", , , , , , 
" Replacement road transport is in place, please get her to speak to station staff with regards to onward travel ", My mum is stuck on a train between Warrington and Wigan any chance of her getting her a taxi sorted? ,Major disruption at expected until the end of the day , , , , , 
" I'm afraid not, replacement taxi's would only take those travelling to their detination station, not their homes "," Sheâ€s not at a station the train stopped between them, my dads waiting at Preston, staff arenâ€t giving any info... can she get a taxi paid? "," Replacement road transport is in place, please get her to speak to station staff with regards to onward travel ", My mum is stuck on a train between Warrington and Wigan any chance of her getting her a taxi sorted? ,Major disruption at expected until the end of the day , , , 
 But sheâ€s now missed the connection to Blackburn? ," I'm afraid not, replacement taxi's would only take those travelling to their detination station, not their homes "," Sheâ€s not at a station the train stopped between them, my dads waiting at Preston, staff arenâ€t giving any info... can she get a taxi paid? "," Replacement road transport is in place, please get her to speak to station staff with regards to onward travel ", My mum is stuck on a train between Warrington and Wigan any chance of her getting her a taxi sorted? ,Major disruption at expected until the end of the day , , 
" Transport between Preston and Blackburn will be arranged for her, she will not have to wait for the 4.40am train ", The next train is 4.40am from Preston to Blackburn you canâ€t seriously expect her to wait almost 5 hours for a train home?! Itâ€s freezing! ," I'm afraid not, replacement taxi's would only take those travelling to their detination station, not their homes "," Sheâ€s not at a station the train stopped between them, my dads waiting at Preston, staff arenâ€t giving any info... can she get a taxi paid? "," Replacement road transport is in place, please get her to speak to station staff with regards to onward travel ", My mum is stuck on a train between Warrington and Wigan any chance of her getting her a taxi sorted? ,Major disruption at expected until the end of the day , 
 I did not receive anything. Have dropped a DM. Thanks ," Hi Jin Yen, we has respond you via DM, see you there! Anwar ", Booking no YIUBPF. Thanks. , May we have the booking number you are referring to Oii? ,How long do I need to wait for my credit shell to be processed? I replied the email on 25/10. Need it for new booking. , , , 
 They're the ones charging it. , We're sorry the store charges for this! Did you call your local store about refunding your order? ,Yo Papa you're seriously charging $0.25 per packet of crushed red pepper and parm cheese? Refund my money. , , , , , 
 Yes I can. I will update you! , Can you try calling back and asking for the manager? We're so sorry the call was disconnected! ," No I havenâ€t called back, I was hoping they would :/ ", We're sorry to hear this! Were you able to call back and get ahold of someone? , I called and said I didnâ€t get my sauces and she said hold on a second and then the phone hung up??? ,when your pizza comes and itâ€s cold and they didnâ€t give you 5 of the 6 sauces you ordered....Iâ€m mad , , 
 Someone added a credit to my account so next time I wonâ€t have to pay for them. Thank you! , Yes I can. I will update you! , Can you try calling back and asking for the manager? We're so sorry the call was disconnected! ," No I havenâ€t called back, I was hoping they would :/ ", We're sorry to hear this! Were you able to call back and get ahold of someone? , I called and said I didnâ€t get my sauces and she said hold on a second and then the phone hung up??? ,when your pizza comes and itâ€s cold and they didnâ€t give you 5 of the 6 sauces you ordered....Iâ€m mad , 
 Oh no! Send us your email. Thanks! ,could have sworn i was signed up for birthday rewards :( no points for me , , , , , , 
 I need help ," Hey, Abdul! We only want the best service for you at ALL times! Send us a DM, and we'll assist you! ",Worse experience 0 customer service. 3 years of this? , , , , , 
 Im paying for premium but every time i log in it keeps saying free service ,Phew! Everything should be back to normal now. Let know if youâ€re still having issues. , , , , , , 
" Was my wife/mom. We couldn't believe it! Then she proceeded to try to tell us how to parent our children. Our children, 6 and 4 were perfect "," Oh my, we'd like to have more details about what happened. We always expect our team to treat our customers courteously and friendly. ","Interacted with one of the rudest flight attendants on flight 1305 from ORD to SLC. Be patient, she's only 4. ", , , , , 
 This was unavoidable due to a passenger on the train requiring urgent medical attention. Apologies. , Typical delays as always what a joke of a train company ,"due to a passenger being taken ill on a train between Coventry and & Birmingham New Street, services running through this station are expected to be delayed by up to 30mins. ", , , , , 
" Awesome, thank you so much!! Appreciate the quick responses ðŸ˜€ "," Correct. Enjoy your dinner, and we'll work on having you out soon! "," Thanks, app and airport boards should be updated though I assume? "," We attempt to send out messages with updated departure times, however, if improvements are made, the time is subject to change. "," No worries, thanks! If the departure time changes we'll be notified,right? Just sat down to dinner and don't want to have to rush out ðŸ˜¬ "," We know how frustrating delays can be, Danielle. Flight is set to depart at 8 p.m. We're working hard to have you on your way soon ",any updates on flight 6353 from DEN to BOS? Four hours is a bit much ðŸ˜ , 
" last agent in telesales, Ching or Chin, basically told me he has not ID and NO MANAGER OR SUPERVISOR TO ESCALATE MY ISSUE TO! "," Are you currently experiencing some type of issues with your service or bill? Please let us know what is going on, to give you a hand. JF ",anyone and everyone....if you decide to do business with your money and time. The customer service is insulting and a joke , , , , , 
 I should've known there was a catch...flight delayed ðŸ˜ ," Congrats on the upgrade, Davina! Enjoy! âœˆðŸ’ºâœˆ ",My flight back to SF just got upgraded ðŸŒðŸ¾ thanks ðŸ˜Š , , , , , 
" Yes, sorry i mean iOS 11, when I texting my keyboard itâ€s very slow and my battery it consumes very fast. "," We can help! We assume you mean iOS 11, right? Can you tell us what types of performance issues you're experiencing? ","I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesnâ€t work properly can you help me? ", , , , , 
 When a flight attendant states in front of the passengers that she is tired of the call bells going off- it's an issue with the service. ," We are continuously striving to provide the best service, thank you for sharing your feedback. We are a tweet away if you need us. ",you suck! 9 hr flt w/o entertainment or wkg jacks. Staff rude. Free Wifi with over 200 people! Time to shred the DSM card! , , , , , 
 ðŸ˜’ðŸ˜’ðŸ˜’ mi plaga se llama Virgin Mobile. Â¿Promociones? BÃ¡sicamente me estÃ¡n robando. ," Upaaale, creo que alguien estÃ¡ con problemas de plagas ðŸ­ ðŸ˜±ðŸ˜±ðŸ˜± Â¡Ten cuidado con eso, Por nuestra parte te contamos que venimos con nueva oferta con muchos mÃ¡s datos, mÃ¡s rÃ¡pidos y mÃ¡s segundos. Â¿ya la conoces? ","En vez de mejorar EMPEORAN. Ya no los puedo diferenciar de los otros operadores. Eran la salvaciÃ³n, eran buenos, chÃveres, pensaban en el cliente y ahora son unas RATASðŸ­ðŸ­ðŸ­ðŸ­ðŸðŸðŸ€ðŸ€ðŸ€ ", , , , , 
 I DMd hours ago and I'm still having problems , Hi Shaunee! What's wrong with our network at your location? Would you please DM us your zip code and nearest cross-streets where that occurs? We're at your service here. ,Is anyone else having trouble with their Boost Mobile network or is it just me? , , , , , 
 We're here to help. Can you please send us a DM so we can connect? ,Some of the worst delivery service I have ever received in my life , , , , , , 
 We're here to help! Send us a DM with your email address and more details so we can follow up. ,"Thanks to your AMAZING customer service, you have just lost 2 customers who have spent nearly $1500 this year. GREAT WORK! ", , , , , , 
 the upgrade list. ðŸ˜ƒ 2/2 ,can you look at the standby list for DL1445 for tomorrow? Suppose to be on it but donâ€t think Iâ€m activated on it. , , , , , , 
" I had the option to see the standby list for 1445, but itâ€s gone now, so I believe you took me off of it ", the upgrade list. ðŸ˜ƒ 2/2 ,can you look at the standby list for DL1445 for tomorrow? Suppose to be on it but donâ€t think Iâ€m activated on it. , , , , , 
 Happy to help! Please confirm your email address or phone number through direct message so we can further assist. ,"Hi. I lost my phone in an Uber. App asks me to submit my phone number to make contact,I only had mobile as travelling. ", , , , , , 
" We do apologise for this but there's unfortunately, there's nothing more we can do and this could happen with any airline. ", Itâ€s Clare with no i!! , by using the feedback you submit. We appreciate it more than you think Claire 2/2. , I think you meant should!! Iâ€m not sure how much more feedback I can give!! Iâ€ve made my thoughts clear. Another airline may now be needed! , Please accept our apologies. Your loyalty to us showed always been shown. We want to improve and change your thoughts about us 2/2. , CS wonâ€t get me off the plane tonight any quicker. Changes so you can make money!! No loyalty and getting worse!!! , may need to be changed for safety or operational reasons. We'll pass your comments on to the Customer Experience team. 2/2 , Iâ€m now half way up the plane when I was originally in row 4! Whatâ€s the point of silver perks when you take them away! 
 Itâ€s Clare with no i!! , by using the feedback you submit. We appreciate it more than you think Claire 2/2. , I think you meant should!! Iâ€m not sure how much more feedback I can give!! Iâ€ve made my thoughts clear. Another airline may now be needed! , Please accept our apologies. Your loyalty to us showed always been shown. We want to improve and change your thoughts about us 2/2. , CS wonâ€t get me off the plane tonight any quicker. Changes so you can make money!! No loyalty and getting worse!!! , may need to be changed for safety or operational reasons. We'll pass your comments on to the Customer Experience team. 2/2 , Iâ€m now half way up the plane when I was originally in row 4! Whatâ€s the point of silver perks when you take them away! ," Hi Clare, please accept our apologies for any inconvenience the changing of your seat reservation has caused. "
 by using the feedback you submit. We appreciate it more than you think Claire 2/2. , I think you meant should!! Iâ€m not sure how much more feedback I can give!! Iâ€ve made my thoughts clear. Another airline may now be needed! , Please accept our apologies. Your loyalty to us showed always been shown. We want to improve and change your thoughts about us 2/2. , CS wonâ€t get me off the plane tonight any quicker. Changes so you can make money!! No loyalty and getting worse!!! , may need to be changed for safety or operational reasons. We'll pass your comments on to the Customer Experience team. 2/2 , Iâ€m now half way up the plane when I was originally in row 4! Whatâ€s the point of silver perks when you take them away! ," Hi Clare, please accept our apologies for any inconvenience the changing of your seat reservation has caused. ",when you go to check in and the one week you need to be at the front for a sharp exit and youâ€ve been put out your seat! ðŸ˜¡ðŸ˜¡ 
 Also how terrible is it that almost every single flight in this terminal is delayed???? Guess you get what you pay for. ,"Also has the worst terminal at SD airport. Youâ€d think if they can never be on time, theyâ€d fill their terminal w cool shit. ", , , , , , 
" If you don't see an expiration listed, then you should be fine just to check, though, can you DM us the code you're curious about? ", No I can't see anything about an expiry date in the email , Hi there! Was there anything said about an expiration date when the code was sent to you? ,I won a 1 month EA access subscription in your intergalactic competition the other day and I'm wondering if there's a time limit for me to redeem the code or if I'm ok to wait before entering so it's not wasted. Thanks. , , , , 
 My service is always on and off Ironically when I need it most I'm having to reboot and reset my internet and it's very inconvenient ," Hello Valentina, I am not happy to hear this. How can I help you? ",Getting really frustrated with lately Starting to look around for new cable and internet provider , , , , , 
 Think â€œcomparison shoppingâ€! , Glad it came back up. Not sure what you mean by they are now on notice? , It came back on. BUT they are now on notice. , Noooooo ,have a chance to win their first championship tonight and is out in my Cypress neighborhood. , , , 
 Will do ," Hi, I'm glad to hear you switched to Xfinity! Let me know if you need any assistance! MH ","So my ISP Really screwed me over, so I switched to ", , , , , 
 Does not appear that Comcast is too concerned. Iâ€ve heard zero from Comcast! ," I'm not sure what you mean, but I'll be happy to look into it. Would you please DM the full service address and phone number? ", Whatâ€s D S? ," Hello, I apologize if this was sent in error. Can you please DM us and we can take a look at what was sent? ",I received a box. I will not open it. I ordered nothing. , , , 
 We want to make sure communication is crystal clear. Please DM your record locator so we can share your feedback. ,might be a good idea 2 have working intercoms on flights.Flight attendant literally sounds like adults talking on Charlie Brown , , , , , , 
 Preston sorry. , Which station is this Alex? ,just wondering if the station will be open tomorrow morning. SSP start around 4am. , , , , , 
" We turned it off for our Boorito promotion, but it'll be back on tomorrow. ",ðŸ†˜ðŸ†˜ðŸ†˜ whyyyy is the app not working ðŸ†˜ðŸ†˜ðŸ†˜ , , , , , , 
" We use it through our Roku, and it happens on every show unfortunately. Also happens even if you just cause or rewind and then continue. ", Uh oh! Captions should stay on. On what device is this happening? Any specific show that's affected? We're here to help. ,"Can you guys maybe like....FIX your stuff? For the longest time now, if you have the captions on, it only lasts for one episode. Wtf ", , , , , 
 Too much to detail; just go look at Netflix. UI is NO PLACE to â€œinnovateâ€ any longer. Just get on board with 20+ yrs of evolution ðŸ˜¶ ," We're sorry to hear this, Tim! Is there anything in particular about the new app that you find frustrating? We're here to help. ",Did u fire the UI team behind the Roku app re-do yet? I want to rip my eyes out every time Iâ€m forced to use it ðŸ˜– , , , , , 
" Hello, I'm sorry your sound isn't working. Please send me a DM and I will be glad to assist you. ","You know what the best part about being a customer is? Having to find illegal streams of channels I already pay for, because the sound hasn't worked on my cable box for the last two fucking days. ", , , , , , 
 FIX IT BECAUSE MY WIFI DOING BETTER THAN YALL..... HOW ???!!!! PLEASE TELL ME HOW ðŸ˜Š ,YO SPRINT WE NEED TO FIGHT OR SOMETHING CUS IM NOT ABOUT TO PAY FOR UNLIMITED DATA AND YOU GIVING ME ASS SERVICE LIKE TF IS THIS ðŸ˜Š , , , , , , 
" Can you please send us a DM, so that be can able to further look into this issue pertaining your device being unlocked? ",sells phones that are unusable in other companies. They can unlock them but they don't , , , , , , 
 So there is no reimbursement for customer paying extra to be able to watch it? ," Hello Victoria, Currently we have no update at this time. ",the update with Already charged for my subscription itâ€s a bit ridiculous to ay for cable and have to pay more , , , , , 
" After trying for 4 hours, I was told I would get a call back in the morning because the departments have now all left "," When you check your order online, what message are you getting? ",is driving me through the wall with how the way my pending order is NOT going , , , , , 
" Hey there, we've responded to your DM, so please message us back whenever you get the chance! ",hi PayPal today you have taken what I owed out of my bank and also of my paypal balance you have charged me twice ? , , , , , , 
 Iam do it ," Sorry to hear that, Please make sure you are following us, so we can assist you better via a Direct Message. ",Hi Iam bught 50$ psn card and i lost 2 Letter now ihave acard and ican imagine him , , , , , 
 Yes... but on a different computer... but the new computer is authorized with the same Adobe ID. ," Hi Ken, did the same book open successfully in a previous version of ADE? ","""The vendor account you entered is not associated with the item you are trying to open"" when I try to open books with new ADE ", , , , , 
